lat,lon
34.92719,-120.439186
41.660775,-87.5957
51.153537,0.599418
47.695565,-116.872926
47.331576,-116.602506
38.937502,-120.00882
32.599796,-115.50465
53.532869,-113.413653
43.637975,-116.399346
-34.303711,150.936563
40.713797,-122.417606
19.430613,-155.257757
38.610555,-122.868518
38.111506,-122.59468
35.514244,-119.326953
35.50351,-119.272622
35.500087,-119.280501
35.350193,-119.094034
34.059115,-118.029771
34.10671,-118.15067
34.047243,-118.002883
34.066623,-118.052747
35.35662,-119.06261
35.331506,-119.000008
42.60963,-122.818535
30.533723,-98.905079
34.045246,-118.114332
34.103541,-118.103012
42.335323,-71.345767
45.487062,-122.80371
13.070635,77.553876
30.285069,-97.732877
14.137639,100.612367
41.592418,-93.699646
41.592358,-93.699823
34.022544,-118.428173
64.845704,-147.727004
40.766638,-111.859077
40.621939,-111.801776
40.733576,-111.827881
64.858829,-147.851352
-12.086926,-75.208499
40.720226,-111.820249
40.351826,-111.973331
64.838485,-147.741733
37.527468,-122.337878
-12.030792,-75.234878
12.938894,77.62314
12.844221,77.645617
12.651205,77.653029
33.994999,-118.196545
33.974392,-118.383906
33.985166,-118.269633
33.771323,-118.083483
37.274816,-107.098936
58.302244,-134.40678
51.702677,-0.282015
50.935893,-1.40641
35.307364,-80.729988
32.084316,34.78255
37.57804,-122.387267
37.874161,-122.294583
37.472914,-122.249604
37.576779,-122.378258
37.410759,-122.097056
21.373602,-157.929491
37.879999,-122.297901
37.47806,-122.237075
37.912159,-122.278033
37.813316,-122.249793
50.639168,-120.375707
34.89392,-84.765511
34.240957,-84.806777
34.240947,-84.806882
29.637693,-95.176727
33.363508,-111.737774
33.310652,-111.856589
29.78264,-95.37274
29.762451,-95.46637
12.113056,15.049167
17.226546,-89.612292
38.262225,-85.538958
38.206998,-85.549907
38.298912,-85.647063
38.299487,-85.65157
41.366545,-73.482879
38.563226,-121.426328
13.051119,77.582208
30.389813,-97.724023
42.335751,-122.786918
42.343777,-122.827229
42.480383,-122.767488
42.336119,-122.85106
42.381992,-122.839158
42.391966,-122.892844
42.12075,-122.464327
42.334586,-122.840631
34.017088,-117.981372
42.277345,-122.805619
34.047246,-117.144925
39.336954,-76.653338
37.753811,-122.421343
37.471301,-122.161255
43.248022,-79.846343
41.172134,-111.923889
33.973942,-117.326894
41.104608,-111.928625
41.315026,-111.847705
33.970975,-117.334653
33.999389,-117.416334
53.804781,-1.561852
16.924781,-89.897573
37.355452,-122.02135
54.024213,-123.093043
47.875391,-122.206572
47.305721,-122.521692
37.111192,-121.637509
13.106933,77.669994
40.547608,23.049174
40.548038,23.013295
40.43633,-79.907609
40.487007,23.020798
40.423524,-79.927152
40.429789,-79.954246
45.31092,8.96966
45.898024,8.660109
43.644691,-70.27089
43.650276,-70.261471
43.1719,-70.608287
43.664815,-70.251317
43.800699,-70.194106
43.723605,-70.420348
43.187142,-70.621594
38.995029,-122.88405
38.319839,-122.70097
38.22234,-122.643521
38.322345,-122.485367
40.708484,-74.003008
40.713567,-74.007498
40.544741,-74.622786
40.523645,-74.468633
40.312866,-74.786663
