,created,lat,lon,x,y,epa_pm25_value,ndvi,wind_x,wind_y,elevation,neighbor_0,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6,neighbor_7,neighbor_8,neighbor_9,neighbor_10,neighbor_11,neighbor_12,neighbor_13,neighbor_14,neighbor_15,neighbor_16,neighbor_17,neighbor_18,neighbor_19,neighbor_20,neighbor_21,neighbor_22,neighbor_23,temperature,humidity
41,201909010000,37.96975500346692,-122.5347392117897,0,75,5.1,4136,-4.0,4.898587196589413e-16,13,1.04,,2.56,,,3.48,,,,3.88,5.42,,0.89,,2.62,8.84,1.95,,,,3.14,3.72,,1.45,94.5,33.0
42,201909010000,37.97329578782893,-122.5347392117897,0,76,5.1,4136,-4.0,4.898587196589413e-16,9,1.04,,2.56,,,3.48,,,,3.88,5.42,,0.89,,2.62,8.84,1.95,,,,3.14,3.72,,1.45,94.5,33.0
43,201909010000,37.976836401406615,-122.5347392117897,0,77,5.1,5697,-4.0,4.898587196589413e-16,28,1.04,,2.56,,,3.48,,,,3.88,5.42,,0.89,,2.62,8.84,1.95,,,,3.14,3.72,,1.45,94.5,33.0
44,201909010000,37.98037684419473,-122.5347392117897,0,78,5.1,5452,-4.0,4.898587196589413e-16,57,,1.04,2.56,,,3.48,,,,3.88,5.42,,0.89,,2.62,8.84,1.95,,,,3.14,3.72,,2.81,94.5,33.0
45,201909010000,37.983917116188,-122.5347392117897,0,79,5.1,5452,-4.0,4.898587196589413e-16,146,,1.04,2.56,,,3.48,,,,3.88,5.42,,0.89,,2.62,8.84,1.95,,,,3.14,3.72,,2.81,94.5,33.0
46,201909010000,37.98745721738111,-122.5347392117897,0,80,5.1,5983,-4.0,4.898587196589413e-16,185,,1.04,2.56,,,3.48,,,,3.88,5.42,,0.89,,2.62,8.84,1.95,,,,3.14,3.72,,2.81,94.5,33.0
47,201909010000,37.99099714776882,-122.5347392117897,0,81,5.1,4494,-4.0,4.898587196589413e-16,41,,1.04,2.56,,,3.48,,,,3.88,5.42,,0.89,,2.62,8.84,1.95,,,,3.14,3.72,2.81,,94.5,33.0
48,201909010000,37.99453690734586,-122.5347392117897,0,82,5.1,4494,-4.0,4.898587196589413e-16,12,,1.04,2.56,,,3.48,,,,3.88,5.42,,0.89,,2.62,8.84,1.95,,,,3.14,3.72,2.81,,94.5,33.0
49,201909010000,37.99807649610696,-122.5347392117897,0,83,5.1,3796,-4.0,4.898587196589413e-16,5,,1.04,2.56,,,3.48,,,,3.88,5.42,,0.89,2.62,8.84,,1.95,,,,3.14,3.72,2.81,,94.5,33.0
50,201909010000,38.00161591404681,-122.5347392117897,0,84,5.1,3269,-4.0,4.898587196589413e-16,2,,1.04,2.56,,,3.48,,,,3.88,5.42,,0.89,2.62,8.84,,1.95,,,,3.14,3.72,2.81,,94.5,33.0
51,201909010000,38.00515516116021,-122.5347392117897,0,85,5.1,3269,-4.0,4.898587196589413e-16,8,,1.04,2.56,,,3.48,,,,3.88,5.42,,0.89,2.62,8.84,,1.95,,,,3.14,3.72,2.81,,94.5,33.0
52,201909010000,38.008694237441865,-122.5347392117897,0,86,5.1,4528,-4.0,4.898587196589413e-16,73,,1.04,2.56,,,3.48,,,,3.88,5.42,,0.89,2.62,8.84,1.95,,,,,3.14,3.72,2.81,,94.5,33.0
53,201909010000,37.817339789377584,-122.53024763536915,1,32,5.0,-2000,1.2155372436685097,-6.893654271085457,0,4.41,22.97,2.24,,,,,2.91,,,1.45,2.97,4.3,,3.72,,,3.14,,,,,,,76.33333333333333,56.666666666666664
54,201909010000,37.82088791242671,-122.53024763536915,1,33,5.0,-2000,1.2155372436685097,-6.893654271085457,47,4.41,2.24,1.45,,,22.97,,,,,2.91,3.72,2.97,3.14,4.3,,,,,,,,,,78.0,52.666666666666664
55,201909010000,37.824435864921405,-122.53024763536915,1,34,5.0,-2000,1.2155372436685097,-6.893654271085457,43,4.41,1.45,,,2.24,22.97,,3.72,,,2.91,,3.14,2.97,4.3,,,,,,,,,,80.5,49.0
56,201909010000,37.82798364685624,-122.53024763536915,1,35,5.1,5261,1.2155372436685097,-6.893654271085457,47,4.41,1.45,,,3.72,3.14,2.24,22.97,,,,2.91,,,2.97,4.3,,,,,,,,,80.5,49.0
57,201909010000,37.83153125822582,-122.53024763536915,1,36,5.1,5261,1.2155372436685097,-6.893654271085457,0,4.41,1.45,,,3.72,3.14,2.24,22.97,,,,,2.91,,,,2.97,4.3,,,,,,5.42,80.5,49.0
58,201909010000,37.83507869902475,-122.53024763536915,1,37,5.1,6479,1.2155372436685097,-6.893654271085457,52,4.41,1.45,,,3.72,3.14,,2.24,,22.97,,,,2.91,,,,2.97,,4.3,,5.42,,,80.5,49.0
59,201909010000,37.838625969247616,-122.53024763536915,1,38,5.1,6589,1.2155372436685097,-6.893654271085457,155,4.41,1.45,,,3.72,3.14,,,,2.24,,,22.97,,2.91,,,5.42,,,2.97,,4.3,,80.5,49.0
60,201909010000,37.84217306888903,-122.53024763536915,1,39,5.1,6589,1.2155372436685097,-6.893654271085457,249,4.41,1.45,3.72,,,3.14,,,,,,5.42,2.24,,22.97,,,2.91,,2.62,8.84,0.89,3.88,,84.0,45.0
61,201909010000,37.84571999794363,-122.53024763536915,1,40,5.1,6996,1.2155372436685097,-6.893654271085457,159,4.41,1.45,3.72,,,3.14,,,,,,5.42,,2.62,2.24,8.84,0.89,3.88,,22.97,,2.91,4.62,,84.0,45.0
